phrase,n,freq_books,rank,mi,lemma_key,spoken_words,auto_keep,auto_reason,keep,notes
comme si je,3,242866,7622,7.38,comme si je,yes,yes,,,
le bureau de,3,242853,7623,5.88,le bureau de,yes,no,fragment,,
puis il se,3,242804,7624,7.17,pouvoir il se,yes,no,fragment,,
l ' organisation,3,242787,7625,,l ' organisation,no,no,rare word,,
dans le corps,3,242689,7626,6.62,dans le corps,yes,yes,,,
à tout ce,3,242664,7627,4.73,à tout ce,yes,no,fragment,,
l' Assemblée nationale,3,242576,7628,,le Assemblée nationale,no,no,rare word,,
en proie à,3,242518,7629,10.28,en proie à,yes,no,fragment,,
que dans l',3,242306,7630,2.26,que dans le,yes,no,fragment; loose,,
se trouve à,3,242202,7631,8.18,se trouver à,yes,no,fragment,,
service de la,3,242159,7632,4.8,service de le,yes,no,fragment,,
comme dans les,3,242139,7633,4.15,comme dans le,yes,no,fragment,,
de la victime,3,242127,7634,6.71,de le victime,yes,no,fragment,,
si l ' on,4,242119,7635,,si l ' on,no,no,rare word,,
l' a vu,3,242108,7636,8.13,le avoir voir,yes,yes,,,
que ce dernier,3,241823,7637,9.05,que ce dernier,yes,yes,,,
pour se rendre,3,241798,7638,9.98,pour se rendre,yes,yes,,,
le monde et,3,241761,7639,4.55,le monde et,yes,no,fragment,,
ce type d',3,241695,7640,9.23,ce typer de,yes,no,fragment,,
sa mère et,3,241636,7641,7.99,son mère et,yes,no,fragment,,
ne pas faire,3,241545,7642,6.97,ne pas faire,yes,yes,,,
le modèle de,3,241528,7643,6.08,le modèle de,yes,no,fragment,,
et je me suis,4,241492,7644,14.88,et je me être,yes,no,fragment,,
au travers de,3,241432,7645,7.15,au travers de,yes,no,fragment,,
que je me suis,4,241423,7646,15.96,que je me être,yes,yes,,,
vers le ciel,3,241291,7647,11.54,vers le ciel,yes,yes,,,
reste de l',3,241147,7648,4.78,reste de le,yes,no,fragment,,
peu plus tard,3,241144,7649,12.65,peu plus tard,yes,yes,,,
plus à l',3,241119,7650,2.24,plus à le,yes,no,fragment; loose,,
de la mission,3,241114,7651,5.91,de le mission,yes,no,fragment,,
avec un petit,3,241029,7652,8.38,avec un petit,yes,yes,,,
rien du tout,3,240975,7653,8.62,rien du tout,yes,yes,,,
au point que,3,240915,7654,7.91,au point que,yes,no,fragment,,
il y eut un,4,240884,7655,16.91,il y avoir un,yes,no,fragment,,
nous venons de,3,240874,7656,11.79,nous venir de,yes,no,fragment,,
le cadre des,3,240874,7657,7.43,le cadre un,yes,no,fragment,,
tu es un,3,240739,7658,10.37,tu être un,yes,no,fragment,,
pas le choix,3,240739,7659,8.18,pas le choix,yes,yes,,,
de l' enquête,3,240623,7660,7.09,de le enquête,yes,no,fragment,,
se contenta de,3,240566,7661,11.29,se contenta de,no,no,fragment; rare word,,
qui l' ont,3,240458,7662,5.44,qui le avoir,yes,yes,,,
que les femmes,3,240453,7663,7.27,que le femme,yes,yes,,,
fois par jour,3,240395,7664,11.56,fois par jour,yes,yes,,,
l' accent sur,3,240112,7665,11.27,le accent sur,yes,no,fragment,,
de la vallée,3,239989,7666,7.29,de le vallée,yes,no,fragment,,
général de la,3,239971,7667,4.51,général de le,yes,no,fragment,,
au nom de la,4,239951,7668,11.41,au nom de le,yes,no,fragment,,
et si je,3,239945,7669,4.46,et si je,yes,no,fragment,,
un peu moins,3,239886,7670,9.73,un peu moins,yes,yes,,,
près d' un,3,239838,7671,7.26,près de un,yes,no,fragment,,
il fallait que,3,239829,7672,8.76,il falloir que,yes,no,fragment,,
le retour de,3,239744,7673,5.32,le retour de,yes,no,fragment,,
bien au contraire,3,239742,7674,12.12,bien au contraire,yes,yes,,,
l' état d',3,239710,7675,6.16,le état de,yes,no,fragment,,
au nombre de,3,239656,7676,6.69,au nombre de,yes,no,fragment,,
quel que soit le,4,239635,7677,17.79,quel que être le,yes,no,fragment,,
pas le droit de,4,239617,7678,11.1,pas le droit de,yes,no,fragment,,
sur ses genoux,3,239559,7679,13.4,sur son genou,yes,yes,,,
les mains sur,3,239391,7680,8.39,le main sur,yes,no,fragment,,
l' a dit,3,239390,7681,6.06,le avoir dire,yes,yes,,,
forme d' une,3,239384,7682,7.59,forme de un,yes,no,fragment,,
de l' Assemblée,3,239342,7683,,de le Assemblée,no,no,fragment; rare word,,
du point de vue de,5,239295,7684,21.17,du point de vue de,yes,no,fragment,,
d' un mouvement,3,239280,7685,8.1,de un mouvement,yes,yes,,,
de leur vie,3,239228,7686,6.67,de son vie,yes,no,fragment,,
une part de,3,239170,7687,5.19,un part de,yes,no,fragment,,
d' un autre côté,4,239159,7688,16.68,de un autre côté,yes,yes,,,
origine de la,3,239131,7689,5.25,origine de le,yes,no,fragment,,
il ne reste,3,239068,7690,8.27,il ne reste,yes,yes,,,
à ses pieds,3,239032,7691,10.03,à son pied,yes,yes,,,
mise en place de,4,239024,7692,16.77,mise en place de,yes,no,fragment,,
la mise à,3,238995,7693,5.96,le mise à,yes,no,fragment,,
comme si le,3,238960,7694,5.7,comme si le,yes,no,fragment,,
ne sais pas ce,4,238941,7695,16.44,ne savoir pas ce,yes,no,fragment,,
on dirait que,3,238908,7696,12.42,on dire que,yes,no,fragment,,
un peu partout,3,238832,7697,12.7,un peu partout,yes,yes,,,
la part du,3,238730,7698,6.11,le part du,yes,no,fragment,,
que celui qui,3,238706,7699,7.29,que celui qui,yes,yes,,,
au pied du,3,238674,7700,9.9,au pied du,yes,no,fragment,,
l' Université de,3,238663,7701,,le Université de,no,no,fragment; rare word,,
ses bras et,3,238614,7702,8.73,son bras et,yes,no,fragment,,
de chaque côté,3,238604,7703,9.9,de chaque côté,yes,no,fragment,,
côté d' elle,3,238563,7704,8.07,côté de lui,yes,yes,,,
y a quelque,3,238468,7705,10.49,y avoir quelque,yes,yes,,,
vous vous êtes,3,238378,7706,11.58,vous vous être,yes,yes,,,
tout au plus,3,238341,7707,6.77,tout au plus,yes,yes,,,
niveau de l',3,238259,7708,5.49,niveau de le,yes,no,fragment,,
tout à la fois,4,238161,7709,12.55,tout à le fois,yes,yes,,,
est d' autant,3,238095,7710,7.63,être de autant,yes,yes,,,
est l' un des,4,238066,7711,7.95,être le un un,yes,no,fragment,,
l' espoir de,3,238002,7712,7.02,le espoir de,yes,no,fragment,,
un bout de,3,237926,7713,6.05,un bout de,yes,no,fragment,,
sans un mot,3,237877,7714,10.69,sans un mot,yes,yes,,,
ne pouvait être,3,237817,7715,10.83,ne pouvoir être,yes,yes,,,
dans son bureau,3,237772,7716,10.48,dans son bureau,yes,yes,,,
ce que nous avons,4,237749,7717,16.76,ce que nous avoir,yes,yes,,,
elle ne voulait,3,237721,7718,10.38,lui ne vouloir,yes,yes,,,
à l' ombre,3,237714,7719,8.09,à le ombre,yes,yes,,,
un jour de,3,237711,7720,4.53,un jour de,yes,no,fragment,,
à la façon,3,237693,7721,5.45,à le façon,yes,yes,,,
sur la côte,3,237562,7722,9.56,sur le côte,yes,yes,,,
l' année suivante,3,237526,7723,15.07,le année suivant,yes,yes,,,
dans le domaine de la,5,237506,7724,17.94,dans le domaine de le,yes,no,fragment,,
dans ma vie,3,237502,7725,9.97,dans mon vie,yes,yes,,,
le type de,3,237450,7726,5.44,le typer de,yes,no,fragment,,
l ' impression,3,237428,7727,,l ' impression,no,no,rare word,,
l ' œuvre,3,237367,7728,,l ' œuvre,no,no,rare word,,
mise en place d',4,237216,7729,18.66,mise en place de,yes,no,fragment,,
conseil d' administration,3,237192,7730,15.23,conseil de administration,yes,yes,,,
que le roi,3,237151,7731,7.2,que le roi,yes,yes,,,
lui ai dit,3,237106,7732,10.22,luire avoir dire,yes,yes,,,
avec l' aide,3,237069,7733,9.43,avec le aide,yes,yes,,,
cours d' une,3,237066,7734,7.62,cours de un,yes,no,fragment,,
me suis dit,3,237039,7735,11.83,me être dire,yes,yes,,,
un verre de,3,236958,7736,7.05,un verre de,yes,no,fragment,,
quelle que soit la,4,236876,7737,17.61,quel que être le,yes,no,fragment,,
le bruit de,3,236839,7738,6.27,le bruit de,yes,no,fragment,,
de son ami,3,236794,7739,7.83,de son ami,yes,no,fragment,,
au nom du,3,236794,7740,8.63,au nom du,yes,no,fragment,,
direction de l',3,236743,7741,5.81,direction de le,yes,no,fragment,,
la bouche de,3,236699,7742,5.28,le bouche de,yes,no,fragment,,
elle se mit,3,236685,7743,11.04,lui se mettre,yes,yes,,,
il avec un,3,236666,7744,3.73,il avec un,yes,no,fragment,,
où il a,3,236626,7745,6.32,où il avoir,yes,yes,,,
le seuil de,3,236622,7746,7.03,le seuil de,yes,no,fragment,,
le cas de la,4,236591,7747,8.9,le cas de le,yes,no,fragment,,
qui est une,3,236580,7748,3.21,qui être un,yes,no,fragment,,
que ça ne,3,236580,7749,7.09,que ça ne,yes,no,fragment,,
par la force,3,236562,7750,7.78,par le forcer,yes,yes,,,
sa main sur,3,236523,7751,9.91,son main sur,yes,no,fragment,,
que nous étions,3,236443,7752,11.8,que nous être,yes,yes,,,
est celui de,3,236388,7753,4.73,être celui de,yes,no,fragment,,
l ' origine,3,236372,7754,,l ' origine,no,no,rare word,,
le premier à,3,236249,7755,5.44,le premier à,yes,no,fragment,,
dans la journée,3,236207,7756,7.88,dans le journée,yes,yes,,,
de trouver un,3,236101,7757,5.87,de trouver un,yes,no,fragment,,
du XX e siècle,4,236098,7758,,du XX e siècle,no,no,rare word,,
vous êtes un,3,235990,7759,9.72,vous être un,yes,no,fragment,,
en direction de la,4,235951,7760,11.36,en direction de le,yes,no,fragment,,
plus que jamais,3,235949,7761,7.77,plus que jamais,yes,yes,,,
en fin de compte,4,235927,7762,16.42,en fin de compte,yes,yes,,,
une paire de,3,235890,7763,9.82,un paire de,yes,no,fragment,,
de la salle de,4,235828,7764,9.45,de le salle de,yes,no,fragment,,
qui doit être,3,235821,7765,9.91,qui doit être,yes,yes,,,
de la pratique,3,235727,7766,5.3,de le pratique,yes,no,fragment,,
de l' histoire de,4,235719,7767,8.77,de le histoire de,yes,no,fragment,,
ne pouvez pas,3,235707,7768,10.82,ne pouvoir pas,yes,yes,,,
sur la vie,3,235700,7769,5.9,sur le vie,yes,yes,,,
un lieu de,3,235689,7770,5.14,un lieu de,yes,no,fragment,,
